image_path,image_quality,LASIS,RASIS,LDTSI,RDTSI,LPOD,RPOD,LBD,RBD,LPT,RPT,LOB,ROB,LIT,RIT,SMPS,LAC,LLSIAS,LMDIAS,RAC,RLSIAS,RMDIAS,LSGT,LLGT,LLT,LFHC,LLFH,LPF,LDF,RSGT,RLGT,RLT,RFHC,RLFH,RPF,RDF
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0043_20251028_14.tif,0,"[446.8, 141.4]","[43.3, 145.9]","[311.2, 199.5]","[182.7, 196.3]","[332.5, 217.6]","[155.6, 215.6]",,,"[320.2, 297.6]","[160.8, 296.4]","[299.6, 320.9, 'FF', 18, 1, 2, 1, 0]","[182.7, 320.2, 'FF', 18, 1, 2, 1, 0]","[300.9, 370.0]","[180.8, 360.3]","[237.0, 303.5]","[370.0, 280.2]","[399.7, 243.4]","[358.3, 311.2]","[112.3, 275.0]","[83.9, 242.8]","[126.5, 306.7]","[443.6, 285.4]","[457.8, 333.2]","[378.4, 374.5]","[371.9, 279.6]","[397.7, 255.7]","[420.3, 383.5]","[413.2, 490.0]","[45.2, 279.6]","[26.5, 327.3]","[113.6, 365.4]","[112.3, 275.0]","[87.8, 251.8]","[67.8, 380.9]","[70.4, 492.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0077.tif,0,,,"[177.6, 92.3]",,"[198.2, 74.9]",,,,"[187.9, 169.8]",,"[164.6, 193.7, 'FF', 18, 1, 2, 1, 0]",,"[177.6, 262.1]",,"[93.6, 165.3]","[246.6, 140.1]","[269.2, 98.8]","[229.9, 180.1]",,,,"[342.2, 129.8]","[367.4, 187.2]","[273.8, 239.5]",,"[278.9, 112.3]","[320.2, 249.2]","[311.8, 490.7]",,,,,,,
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0078.tif,0,,,,"[322.2, 79.4]",,"[302.2, 73.0]",,,,"[306.0, 153.0]",,"[329.9, 175.0, 'FF', 18, 1, 2, 1, 0]",,"[320.2, 237.6]","[391.9, 149.1]",,,,"[251.2, 128.5]","[234.4, 87.2]","[263.4, 169.2]",,,,,,,,"[164.0, 114.9]","[138.8, 172.4]","[227.9, 218.2]","[248.6, 129.1]","[229.2, 98.8]","[187.9, 223.4]","[218.9, 488.1]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0044.tif,0,"[457.1, 125.3]","[76.8, 140.8]","[331.2, 173.7]","[207.3, 177.6]","[370.0, 204.0]","[171.7, 209.8]",,,"[361.6, 280.9]","[187.9, 284.1]","[339.0, 302.2, 'FF', 18, 1, 2, 1, 0]","[209.2, 308.0, 'FF', 18, 1, 2, 1, 0]","[357.7, 340.3]","[198.9, 347.4]","[272.5, 297.6]","[401.6, 258.3]","[417.7, 229.9]","[397.1, 284.1]","[150.4, 266.7]","[126.5, 240.2]","[163.3, 298.3]","[467.5, 251.8]","[482.9, 302.8]","[404.8, 331.9]","[400.9, 260.8]","[419.7, 243.4]","[445.5, 344.1]","[434.5, 446.8]","[82.0, 262.8]","[65.2, 305.4]","[139.5, 344.1]","[150.4, 269.9]","[128.5, 250.5]","[101.4, 355.8]","[106.5, 450.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0044_20251027_12.tif,0,"[422.9, 180.1]","[25.2, 172.4]","[281.5, 200.8]","[169.2, 200.2]","[311.2, 229.2]","[126.5, 226.0]",,,"[290.5, 309.9]","[136.9, 304.1]","[271.8, 328.6, 'FF', 18, 1, 2, 1, 0]","[157.5, 328.6, 'FF', 18, 1, 2, 1, 0]","[288.0, 368.7]","[142.7, 360.3]","[211.8, 314.4]","[342.2, 296.4]","[361.6, 268.6]","[320.9, 322.8]","[85.9, 277.0]","[70.4, 253.7]","[105.2, 305.4]","[410.0, 302.8]","[426.1, 347.4]","[362.2, 371.9]","[344.1, 298.3]","[366.7, 286.0]","[388.7, 379.0]","[382.9, 446.1]","[20.7, 281.5]","[1.9, 326.7]","[76.2, 357.7]","[84.6, 275.0]","[57.5, 266.7]","[43.3, 364.8]","[49.7, 450.7]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0044_20251028_14.tif,0,,"[187.2, 103.9]",,"[329.3, 155.0]",,"[308.0, 180.8]",,,,"[317.0, 277.6]",,"[342.2, 300.2, 'FF', 18, 1, 2, 1, 0]",,"[335.7, 342.8]","[408.1, 283.4]",,,,"[265.4, 247.3]","[230.5, 213.1]","[287.3, 282.8]",,,,,,,,"[187.9, 252.4]","[166.6, 309.9]","[264.7, 349.9]","[265.4, 245.3]","[234.4, 222.7]","[214.4, 367.4]","[222.7, 494.6]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0045.tif,0,,"[207.3, 26.5]",,"[329.9, 85.9]",,"[302.2, 124.0]",,,,"[322.8, 210.5]",,"[342.8, 237.6, 'FF', 18, 1, 2, 1, 0]",,"[319.6, 289.9]","[434.5, 224.7]",,,,"[277.0, 189.2]","[247.3, 153.0]","[277.6, 226.6]",,,,,,,,,,,"[277.6, 190.5]","[255.0, 169.2]","[213.7, 286.0]","[225.3, 490.7]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0045_20251027_12.tif,0,,"[190.5, 156.2]","[442.9, 214.4]","[331.2, 192.4]","[459.7, 233.7]","[284.1, 204.0]",,,"[413.2, 316.4]","[273.8, 273.8]","[393.8, 327.3, 'FF', 18, 1, 2, 1, 0]","[287.3, 304.7, 'FF', 18, 1, 2, 1, 0]","[402.2, 377.1]","[258.9, 327.3]","[333.8, 297.0]","[466.2, 311.8]","[496.5, 293.8]","[455.2, 337.0]","[231.8, 243.4]","[217.6, 212.4]","[248.6, 275.7]",,,"[462.9, 387.4]",,"[464.9, 314.4]","[492.6, 395.8]","[493.3, 461.6]","[185.3, 246.0]",,"[181.4, 313.1]","[232.4, 240.2]","[217.6, 218.2]","[155.6, 286.7]","[17.4, 391.3]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0045_20251028_14.tif,0,"[318.3, 106.5]",,"[184.7, 175.0]",,"[200.8, 194.3]",,,,"[187.2, 286.0]",,"[167.2, 309.3, 'FF', 18, 1, 2, 1, 0]",,"[171.1, 364.1]",,"[87.8, 292.5]","[241.5, 258.9]","[270.5, 222.1]","[227.9, 298.9]",,,,"[331.2, 263.4]","[349.3, 322.2]","[255.7, 362.9]",,"[270.5, 237.6]","[300.2, 357.0]","[286.0, 495.2]",,,,,,,
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0243_20251117_14.tif,0,"[451.3, 107.8]","[71.0, 100.7]","[305.4, 171.7]","[194.3, 168.5]","[328.6, 184.7]","[182.1, 181.4]",,,"[329.9, 265.4]","[185.3, 263.4]","[312.5, 293.8, 'FF', 18, 1, 2, 1, 0]","[200.8, 287.3, 'FF', 18, 1, 2, 1, 0]","[315.7, 346.1]","[185.9, 338.3]","[264.1, 260.2]","[385.5, 235.7]","[405.5, 207.3]","[376.4, 275.7]","[132.4, 237.0]","[109.1, 205.3]","[143.3, 260.2]","[445.5, 229.2]","[475.8, 277.0]","[395.1, 324.8]","[388.7, 235.7]","[411.3, 215.0]","[442.9, 335.7]","[451.3, 494.6]","[65.9, 227.9]","[33.6, 280.9]","[119.4, 320.9]","[131.1, 237.0]","[105.9, 219.5]","[77.5, 337.0]","[91.7, 498.4]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0240_20251117_14.tif,0,"[306.7, 96.8]",,"[169.2, 171.7]",,"[190.5, 181.4]",,,,"[189.8, 260.8]",,"[173.7, 286.7, 'FF', 18, 1, 2, 1, 0]",,"[176.9, 340.9]",,"[120.1, 257.0]","[244.1, 235.7]","[267.9, 202.1]","[233.7, 270.5]",,,,"[309.9, 222.1]","[343.5, 270.5]","[260.8, 319.0]","[248.6, 233.7]","[269.9, 209.8]","[308.6, 329.3]","[315.7, 498.4]",,,,,,,
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0239_20251117_14.tif,0,,"[191.1, 54.2]",,"[311.8, 155.0]",,"[299.6, 148.5]",,,,"[313.1, 224.0]",,"[337.7, 243.4, 'FF', 18, 1, 2, 1, 0]",,"[331.2, 306.0]",,,,,"[263.4, 202.7]","[232.4, 171.1]","[271.8, 243.4]",,,,,,,,"[182.1, 198.2]","[158.2, 252.4]","[246.6, 290.5]","[260.2, 201.4]","[241.5, 174.3]","[200.8, 313.8]","[216.3, 495.2]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0238_20251117_14.tif,0,"[453.9, 71.7]","[43.9, 85.9]","[319.0, 166.6]","[178.2, 179.5]","[340.3, 171.7]","[158.8, 176.9]",,,"[343.5, 246.6]","[171.7, 259.6]","[319.0, 271.8, 'FF', 18, 1, 2, 1, 0]","[198.2, 275.7, 'FF', 18, 1, 2, 1, 0]","[319.6, 325.4]","[193.0, 335.1]","[260.8, 233.1]","[387.4, 221.5]","[412.6, 188.5]","[370.6, 258.3]","[118.8, 233.1]","[94.3, 200.2]","[133.6, 273.8]","[472.0, 216.9]","[495.2, 272.5]","[409.3, 317.0]","[390.6, 222.7]","[417.1, 200.8]","[452.6, 328.6]","[445.5, 493.3]","[37.4, 224.0]","[12.3, 276.3]","[101.4, 324.8]","[119.4, 233.1]","[100.7, 204.0]","[52.9, 337.0]","[54.9, 492.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0233_20251117_14.tif,0,,"[247.9, 53.6]",,"[358.3, 167.2]",,"[343.5, 162.1]",,,,"[349.9, 224.0]",,"[370.6, 255.0, 'FF', 18, 1, 2, 1, 0]",,"[357.0, 321.5]","[433.9, 216.9]",,,,"[291.8, 201.4]","[278.9, 162.1]","[300.2, 235.0]",,,,,,,,"[206.6, 197.6]","[184.7, 249.2]","[268.6, 284.7]","[283.4, 198.2]","[259.6, 173.7]","[224.0, 297.0]","[229.2, 495.9]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0224_20251117_14.tif,0,,"[144.6, 109.8]",,"[296.4, 169.8]",,"[272.5, 179.5]",,,,"[286.7, 273.8]","[412.0, 290.9, 'FF', 18, 1, 2, 1, 0]","[313.8, 296.4, 'FF', 18, 1, 2, 1, 0]",,"[309.3, 345.4]","[367.4, 268.6]",,,,"[230.5, 251.8]","[207.9, 212.4]","[251.2, 284.1]",,,,,,,,"[151.1, 241.5]","[127.2, 293.1]","[210.5, 335.1]","[227.9, 249.9]","[206.0, 224.7]","[169.2, 337.0]","[179.5, 490.0]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0219_20251117_14.tif,0,,"[206.6, 36.2]",,"[329.3, 118.2]",,"[300.9, 144.0]",,,,"[309.3, 211.1]",,"[331.9, 231.1, 'FF', 18, 1, 2, 1, 0]",,"[317.0, 282.8]",,,,,"[267.3, 191.1]","[242.8, 157.5]","[273.1, 218.9]",,,,,,,,"[200.8, 187.9]","[189.2, 233.7]","[257.6, 268.6]","[262.1, 185.3]","[244.1, 167.2]","[228.6, 273.1]","[253.7, 497.8]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0001_20251027_12_8bit.tif,0,"[465.5, 119.4]","[48.4, 113.6]","[326.7, 205.3]","[179.5, 208.5]","[355.8, 227.3]","[147.9, 233.1]",,,"[346.7, 295.7]","[152.4, 296.4]","[323.5, 320.9, 'FF', 18, 1, 2, 1, 0]","[178.2, 320.9, 'FF', 18, 1, 2, 1, 0]","[346.7, 378.4]","[148.5, 376.4]","[253.1, 304.1]","[392.6, 276.3]","[423.5, 255.0]","[379.6, 309.9]","[111.1, 274.4]","[91.0, 246.6]","[121.4, 305.4]","[464.2, 272.5]","[484.2, 328.6]","[409.3, 359.0]","[395.8, 277.0]","[424.2, 260.2]","[441.6, 370.0]","[435.8, 496.5]","[45.8, 271.8]","[23.2, 328.0]","[100.7, 357.0]","[109.8, 276.3]","[83.9, 258.9]","[65.9, 364.8]","[75.5, 495.2]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0001_20251117_14.tif,0,"[427.4, 56.2]","[40.7, 71.0]","[298.3, 131.7]","[178.2, 133.0]","[318.3, 138.2]","[154.3, 146.6]",,,"[315.1, 206.0]","[153.7, 213.7]","[296.4, 227.9, 'FF', 18, 1, 2, 1, 0]","[178.2, 237.6, 'FF', 18, 1, 2, 1, 0]","[298.9, 291.2]","[173.0, 297.0]","[233.7, 196.9]","[370.6, 186.6]","[391.9, 154.3]","[348.7, 213.7]","[99.4, 193.7]","[76.8, 158.2]","[113.6, 226.0]","[438.4, 190.5]","[462.9, 251.2]","[368.7, 278.3]","[372.5, 187.2]","[400.3, 167.2]","[413.2, 301.5]","[412.6, 488.8]","[20.7, 196.3]","[1.3, 256.3]","[94.9, 286.7]","[97.5, 193.7]","[69.7, 173.0]","[51.0, 306.0]","[60.0, 490.7]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0002_20251027_12.tif,0,"[317.7, 63.3]",,"[196.3, 155.0]",,"[216.3, 162.7]",,,,"[204.7, 227.9]",,"[184.6, 251.4, 'ACC', 18, 1, 2, 1, 0]",,"[206.6, 311.8]",,"[111.7, 232.4]","[247.9, 211.1]","[277.6, 191.1]","[239.5, 245.3]",,,,"[321.5, 207.9]","[333.2, 262.8]","[259.6, 289.9]","[251.2, 212.4]","[273.1, 192.4]","[288.6, 300.9]","[261.5, 494.6]",,,,,,,
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0002_20251117_14.tif,0,"[437.1, 122.7]","[51.0, 136.9]","[307.3, 189.2]","[190.5, 190.5]","[324.8, 198.2]","[165.9, 203.4]",,,"[322.8, 269.9]","[164.6, 275.7]","[304.1, 288.0, 'FF', 18, 1, 2, 1, 0]","[191.8, 295.1, 'FF', 18, 1, 2, 1, 0]","[309.3, 349.9]","[184.7, 355.8]","[240.8, 264.1]","[377.1, 248.6]","[402.2, 219.5]","[350.6, 280.9]","[113.0, 251.8]","[89.1, 221.5]","[134.3, 282.8]","[448.1, 256.3]","[470.7, 313.8]","[377.7, 342.2]","[380.3, 250.5]","[407.4, 232.4]","[419.7, 362.2]","[415.2, 487.5]","[30.3, 255.7]","[12.9, 317.7]","[103.9, 346.1]","[111.1, 254.4]","[78.8, 236.3]","[60.7, 361.6]","[69.7, 486.8]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0003_20251028_14.tif,0,,"[196.3, 31.0]","[68.4, 4.5]","[331.2, 128.5]",,"[304.7, 133.0]",,,,"[323.5, 221.5]",,"[346.1, 249.9, 'FF', 18, 1, 2, 1, 0]",,"[342.8, 307.3]","[411.9, 209.2]",,,,"[268.6, 200.8]","[246.0, 164.6]","[282.8, 238.2]",,,,,,,,"[187.9, 198.9]","[167.9, 248.6]","[261.5, 286.0]","[264.7, 200.8]","[238.2, 176.3]","[218.2, 318.3]","[232.4, 490.7]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0003_20251117_14.tif,0,,"[208.5, 87.2]",,"[328.0, 145.3]",,"[308.0, 158.2]",,,,"[316.4, 227.9]",,"[335.7, 245.3, 'FF', 18, 1, 2, 1, 0]",,"[326.7, 309.9]","[399.0, 217.6]",,,,"[257.6, 207.9]","[235.7, 173.0]","[277.6, 235.0]",,,,,,,,"[173.0, 206.6]","[156.9, 272.5]","[249.2, 300.9]","[256.3, 207.9]","[226.6, 189.8]","[208.5, 323.5]","[227.3, 487.5]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0004_20251117_14.tif,0,"[293.8, 49.7]",,"[168.5, 138.8]",,"[182.7, 146.6]",,,,"[176.9, 218.9]",,"[155.0, 237.0, 'FF', 18, 1, 2, 1, 0]",,"[163.3, 301.5]",,"[91.0, 215.6]","[228.6, 195.6]","[256.3, 165.9]","[212.4, 227.9]",,,,"[312.5, 200.8]","[333.2, 257.0]","[239.5, 295.7]","[234.4, 198.9]","[260.8, 175.6]","[281.5, 315.1]","[273.8, 494.6]",,,,,,,
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0007.tif,0,,,,"[348.0, 65.9]",,"[322.2, 92.3]",,,,,,"[364.8, 187.2, 'FF', 18, 1, 2, 1, 0]",,"[356.4, 242.1]","[432.6, 148.5]",,,,"[281.5, 156.2]","[246.0, 135.6]","[307.3, 185.3]",,,,,,,,"[207.3, 153.0]","[183.4, 203.4]","[269.2, 238.9]","[278.9, 162.1]","[248.6, 135.6]","[227.3, 253.7]","[238.9, 489.4]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0007_20251028_14.tif,0,"[462.9, 59.4]","[71.0, 44.5]","[331.2, 171.1]","[193.0, 165.9]","[349.9, 162.1]","[178.2, 156.9]",,,"[342.2, 242.8]","[178.2, 236.3]","[322.8, 264.7, 'FF', 18, 1, 2, 1, 0]","[206.0, 257.0, 'FF', 18, 1, 2, 1, 0]","[322.8, 317.0]","[195.6, 317.7]","[261.5, 227.3]","[388.0, 222.1]","[415.2, 193.0]","[371.2, 250.5]","[131.7, 207.3]","[114.9, 173.7]","[145.3, 249.9]","[466.2, 225.3]","[492.0, 277.0]","[408.7, 317.0]","[392.6, 226.0]","[417.7, 206.6]","[446.1, 326.7]","[441.0, 485.5]","[61.3, 206.0]","[37.4, 267.9]","[113.6, 298.9]","[128.5, 207.9]","[99.4, 185.3]",,
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0008_20251028_14.tif,0,,"[173.7, 43.9]",,"[296.4, 164.0]",,"[278.3, 154.3]",,,,"[277.0, 237.6]",,"[302.2, 260.2, 'FF', 18, 1, 2, 1, 0]",,"[303.5, 320.9]","[359.6, 228.6]",,,,"[228.6, 210.5]","[210.5, 176.3]","[246.0, 249.9]",,,,,,,,"[159.5, 205.3]","[138.2, 270.5]","[213.7, 298.3]","[226.6, 211.1]","[204.0, 185.9]","[176.3, 317.0]","[181.4, 491.3]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0009_20251117_14.tif,0,"[472.6, 42.0]","[32.3, 62.6]","[317.7, 122.0]","[200.8, 134.9]","[351.2, 144.0]","[163.3, 156.2]",,,"[509.4, 480.4]",,"[314.4, 236.3, 'FF', 18, 1, 2, 1, 0]","[196.3, 241.5, 'FF', 18, 1, 2, 1, 0]","[319.0, 297.6]","[195.6, 300.9]","[244.1, 195.0]","[386.7, 195.0]","[414.5, 165.3]","[368.7, 229.2]","[120.7, 204.7]","[88.5, 180.8]","[134.3, 248.6]","[458.4, 184.7]","[479.1, 239.5]","[397.1, 275.7]","[388.0, 196.9]","[411.3, 175.6]","[437.8, 283.4]","[428.1, 484.9]","[41.3, 200.8]","[22.0, 247.3]","[102.7, 285.4]","[118.2, 205.3]","[96.2, 180.8]","[62.0, 302.8]","[69.1, 491.3]"
/home/ajj/Documents/ODI/Data/Landmarking/AP/preop/set_001_0010_20251117_14.tif,0,,,,"[351.2, 95.6]",,"[319.0, 104.6]",,,,,,"[351.2, 189.2, 'FF', 18, 1, 2, 1, 0]",,"[347.4, 253.7]","[419.0, 149.8]",,,,"[278.9, 151.1]","[246.0, 127.2]","[290.5, 188.5]",,,,,,,,"[202.1, 137.5]","[176.9, 183.4]","[252.4, 229.9]","[277.0, 152.4]","[255.0, 127.2]","[216.9, 238.9]","[207.9, 486.2]"
